timestamp,v_x,w_z
1715420037.216468611,2.09702,0.0277239
1715420037.266435444,2.08839,0.0631725
1715420037.316453535,2.09416,0.0383704
1715420037.366461350,2.046,0.00957374
1715420037.416531939,2.07793,0.0297126
1715420037.466452979,2.12886,0.0484095
1715420037.516439944,2.09492,0.0353311
1715420037.566429671,2.08303,0.0132886
1715420037.616525593,2.09107,0.0287013
1715420037.666481181,2.11318,0.0478864
1715420037.716461450,2.09856,0.0344679
1715420037.766492706,2.04195,0.0684338
1715420037.816441371,2.07962,0.0446794
1715420037.866434465,2.13029,0.0150348
1715420037.916460952,2.09665,0.0357767
1715420037.966434915,2.03118,0.0213865
1715420038.016435071,2.07343,0.0314734
1715420038.066435311,2.07561,0.131254
1715420038.116470865,2.0741,0.0614362
1715420038.166425548,2.14553,-0.0114498
1715420038.216434732,2.09798,0.0395667
1715420038.266429843,2.09386,0.0153935
1715420038.316445016,2.09687,0.032332
1715420038.366489357,2.03626,0.0225757
1715420038.416459389,2.07671,0.0294024
1715420038.466447538,2.06367,0.0430574
1715420038.516434257,2.07209,0.0334906
1715420038.566435465,2.13001,0.0681288
1715420038.616475018,2.09133,0.0438943
1715420038.666450260,2.10931,0.0101078
1715420038.716471169,2.0976,0.0337443
1715420038.766431450,2.07145,0.0285899
1715420038.816466990,2.08878,0.0322087
1715420038.866431612,2.1072,0.0332373
1715420038.916461587,2.09518,0.0325026
1715420038.966464001,2.09688,0.0157109
1715420039.016465366,2.09598,0.0274425
1715420039.066431248,2.10289,0.118913
1715420039.116571113,2.0986,0.0549153
1715420039.166435278,2.02677,-0.0734583
1715420039.216467180,2.07443,0.0163821
1715420039.266435972,2.13667,0.0725615
1715420039.316476922,2.09524,0.0332171
1715420039.366450139,2.06931,0.0318063
1715420039.416462047,2.08647,0.0328272
1715420039.466429546,2.11986,0.0422346
1715420039.516438237,2.09773,0.0356438
1715420039.566488864,2.08976,0.010283
1715420039.616461177,2.09515,0.0280189
1715420039.666444281,2.07656,0.0960418
1715420039.716476023,2.0891,0.0484534
1715420039.766458081,2.11077,-0.0427955
1715420039.816463756,2.09634,0.0210881
1715420039.866435617,2.03405,0.0652934
1715420039.916437332,2.07559,0.0343374
1715420039.966447421,2.13335,0.02661
1715420040.016462364,2.09503,0.0320153
1715420040.066448986,2.06679,0.0387719
1715420040.116439116,2.08551,0.0340381
1715420040.166462367,2.10101,0.060202
1715420040.216433230,2.0906,0.0419033
1715420040.266434532,2.04437,-0.0233135
1715420040.316471020,2.07496,0.02232
1715420040.366467089,2.07462,0.0622259
1715420040.416460411,2.07482,0.0342969
1715420040.466445213,2.10835,0.0193336
1715420040.516472071,2.08589,0.0298016
1715420040.566466789,2.08426,-0.0432184
1715420040.616464628,2.08529,0.00787193
1715420040.666469970,2.08196,0.121218
1715420040.716464585,2.08402,0.0418842
1715420040.766430229,2.10655,0.0341199
1715420040.816433322,2.09169,0.039549
1715420040.866434195,2.08063,0.0549443
1715420040.916445919,2.08791,0.0441771
1715420040.966497018,2.12181,-0.0137098
1715420041.016461118,2.09953,0.0268058
1715420041.066439422,2.08089,0.0551202
1715420041.116471442,2.09354,0.0352705
1715420041.166430948,2.09102,0.0202348
1715420041.216521844,2.09262,0.0307499
1715420041.266442313,2.0366,0.00813083
1715420041.316480966,2.07365,0.0239548
1715420041.366441267,2.06965,-0.0102458
1715420041.416476215,2.07225,0.0136769
1715420041.466441322,2.14314,0.0523681
1715420041.516474411,2.09617,0.0252751
1715420041.566452606,2.10398,0.0598395
1715420041.616531263,2.09885,0.0356352
1715420041.666565024,2.07042,0.0139918
1715420041.716451415,2.08926,0.0291371
1715420041.766437502,2.09612,0.0133225
1715420041.816494969,2.09157,0.0243841
1715420041.866456333,2.08045,0.0443773
1715420041.916432523,2.08777,0.0303798
1715420041.966426209,2.07616,0.0253037
1715420042.016463182,2.08374,0.0288587
1715420042.066431199,2.09813,0.0119915
1715420042.116467560,2.08842,0.0237635
