timestamp,v_x,w_z
1716433618.988563050,4.82973,0.00610865
1716433619.038522535,4.82973,0.00610865
1716433619.088590330,4.68945,0.00610865
1716433619.138592801,4.68945,0.00610865
1716433619.188951250,4.72962,0.00610865
1716433619.238601706,4.72962,0.00610865
1716433619.288617787,4.61539,0.00610865
1716433619.338559163,4.61539,0.00610865
1716433619.388536237,4.47169,0.00610865
1716433619.439224130,4.47169,0.00610865
1716433619.488609166,4.45925,0.00610865
1716433619.538566446,4.45925,0.00610865
1716433619.588580809,4.31378,0.00610865
1716433619.638587633,4.31378,0.00610865
1716433619.688549259,4.32708,0.00610865
1716433619.738568024,4.32708,0.00610865
1716433619.788659331,4.18754,0.00610865
1716433619.838588290,4.18754,0.00610865
1716433619.888608842,4.16552,0.00610865
1716433619.938621670,4.16552,0.00610865
1716433619.988503193,4.01782,0.00610865
1716433620.038544252,4.01782,0.00610865
1716433620.088618771,3.9359,0.00610865
1716433620.138571677,3.9359,0.00610865
1716433620.188594238,3.88795,0.00610865
1716433620.238551453,3.88795,0.00610865
1716433620.288646406,3.81103,0.00610865
1716433620.338637954,3.81103,0.00610865
1716433620.388631271,3.7757,0.00610865
1716433620.438625146,3.7757,0.00610865
1716433620.488598617,3.64656,0.00610865
1716433620.538640715,3.64656,0.00610865
1716433620.588674391,3.58034,0.00610865
1716433620.638592067,3.58034,0.00610865
1716433620.688574796,3.58034,0.00610865
1716433620.738603510,3.5678,0.00610865
1716433620.788706041,3.40348,0.00610865
1716433620.838618550,3.40348,0.00610865
1716433620.888632576,3.38519,0.00610865
1716433620.938659937,3.38519,0.00610865
1716433620.988606382,3.33549,0.00610865
1716433621.038652327,3.33549,0.00610865
1716433621.088715192,3.22368,0.00610865
1716433621.138548127,3.22368,0.00610865
1716433621.189881741,3.10632,0.00610865
1716433621.238671786,3.10632,0.00610865
1716433621.288590261,3.08328,0.00610865
1716433621.338618006,3.08328,0.00610865
1716433621.388711822,2.98814,0.00610865
1716433621.438601631,2.98814,0.00610865
1716433621.488658253,2.88764,0.00610865
1716433621.538666705,2.88764,0.00610865
1716433621.588645949,2.80205,0.00610865
1716433621.638628201,2.80205,0.00610865
1716433621.688675059,2.68992,0.00610865
1716433621.738635969,2.68992,0.00610865
1716433621.788664439,2.65834,0.00610865
1716433621.838685257,2.65834,0.00610865
1716433621.888692725,2.69516,0.00610865
1716433621.938682776,2.69516,0.00610865
1716433621.988724220,2.50913,0.00610865
1716433622.038669886,2.50913,0.00610865
1716433622.088715751,2.40971,0.00610865
1716433622.138748829,2.40971,0.00610865
1716433622.188639430,2.38393,0.00610865
1716433622.238789544,2.38393,0.00610865
1716433622.288724047,2.2855,0.00610865
1716433622.338656703,2.2855,0.00610865
1716433622.388739546,2.21905,0.00610865
1716433622.438711586,2.21905,0.00610865
1716433622.488753554,2.21793,0.00610865
1716433622.538754423,2.21793,0.00610865
1716433622.588741806,2.30098,0.00610865
1716433622.638692920,2.30098,0.00610865
1716433622.688680431,2.45718,0.00610865
1716433622.738728794,2.45718,0.00610865
1716433622.788817336,2.66737,0.00610865
1716433622.838743908,2.66737,0.00610865
1716433622.888731212,2.82909,0.00610865
1716433622.938760573,2.82909,0.00610865
1716433622.988723673,2.90288,0.00610865
1716433623.038812079,2.90288,0.00610865
1716433623.088732896,3.04856,0.00610865
1716433623.138762918,3.04856,0.00610865
1716433623.188817777,3.10885,0.00610865
1716433623.238647391,3.10885,0.00610865
1716433623.288781322,3.08235,0.00610865
1716433623.338797363,3.08235,0.00610865
1716433623.388710591,3.08965,0.00610865
1716433623.438719623,3.08965,0.00610865
1716433623.488768082,3.05538,0.00610865
1716433623.538709958,3.05538,0.00610865
1716433623.588802752,2.98595,0.00610865
1716433623.638723016,2.98595,0.00610865
1716433623.688749482,2.96159,0.00610865
1716433623.738815539,2.96159,0.00610865
1716433623.838722963,2.92661,0.00610865
1716433623.888789396,2.94995,0.00610865
1716433623.938785863,2.94995,0.00610865
1716433623.988817509,2.88972,0.00610865
1716433624.038751615,2.88972,0.00610865
1716433624.088814694,2.87325,0.00610865
1716433624.138864198,2.87325,0.00610865
1716433624.188742481,2.9119,0.00610865
1716433624.238788838,2.9063,0.00610865
1716433624.288883891,2.94987,0.00610865
1716433624.338767546,2.94987,0.00610865
1716433624.388812854,2.99467,0.00610865
1716433624.439809839,2.99467,0.00610865
1716433624.488822149,3.04189,0.00610865
1716433624.538850157,3.04189,0.00610865
1716433624.588773355,3.05707,0.00610865
1716433624.638811864,3.05707,0.00610865
1716433624.688815065,3.07679,0.00610865
1716433624.738809385,3.07679,0.00610865
1716433624.788859542,3.058,0.00610865
